0; 30462; 28101; 37468; 30079; 29025; 34362; 22169; 29738; 29379; 28746; 25495; 27910; 26820; 29132; 26907; 31927; 33473; 36104; 24752; 28383; 
100; 28524; 27480; 36745; 28803; 31079; 33163; 21844; 31696; 28070; 27552; 25724; 28193; 27009; 28884; 26386; 28417; 31567; 34477; 25957; 28348; 
200; 27317; 28160; 37291; 29708; 29399; 33622; 21093; 29650; 29357; 27753; 24475; 27364; 27660; 27366; 27751; 28325; 30990; 35246; 25316; 27292; 
300; 27774; 28685; 37333; 30347; 30071; 34363; 21930; 29902; 30342; 27080; 25310; 28695; 28465; 28904; 26191; 31957; 30973; 33617; 25784; 28972; 
400; 27919; 28434; 37552; 30079; 28698; 33724; 21616; 29514; 28630; 28721; 25798; 29390; 27915; 28664; 25523; 29087; 32059; 34300; 25436; 27400; 
500; 27576; 28572; 37060; 29161; 30146; 33979; 20608; 29120; 27988; 27850; 24306; 30371; 27368; 29727; 25608; 28570; 31684; 32694; 24782; 28405; 
600; 27214; 29301; 35749; 30533; 29609; 31230; 21958; 30225; 28169; 26923; 24094; 30963; 26851; 28277; 25637; 27839; 32388; 34446; 25630; 27173; 
700; 29375; 28245; 36398; 28844; 29321; 33781; 21006; 31742; 28593; 28111; 24857; 26936; 28040; 27990; 25761; 26899; 30610; 34376; 25208; 28546; 
800; 27238; 28538; 36107; 30901; 28591; 33441; 20571; 29822; 29113; 27489; 25637; 28679; 26879; 27628; 25516; 27637; 31421; 33197; 25021; 27502; 
900; 27629; 28922; 37959; 27555; 29343; 33200; 20971; 29876; 28790; 28657; 24192; 28359; 27787; 27815; 26119; 32820; 32568; 32699; 24656; 29358; 
1000; 26856; 27435; 36143; 29084; 28970; 31549; 20889; 30032; 28058; 28201; 24052; 27876; 26489; 29424; 26033; 29421; 32350; 35430; 25832; 27395; 
